name	Band	average	max_error	maximum	median	minimum	p80_threshold	p85_threshold	p90_threshold	sigma	total
world	3_bands_model_chl_conc	8.7961	0.0155	18.5017	8.9827	3.0237	10.9330	11.5056	12.1557	2.8026	806
world	MCI	0.0000	0.0000	0.0007	-0.0000	-0.0000	-0.0000	-0.0000	-0.0000	0.0000	8800
world	conc_chl	9.5504	0.0224	22.3818	10.1287	0.0222	13.2591	14.2652	14.9584	4.7330	806
world	conc_tsm	1.4740	0.0067	6.7424	1.5002	0.0130	2.0318	2.1934	2.4760	0.9126	806
world	empirical_2_bands_equation1	13.5263	0.0260	26.9408	14.5411	0.9455	18.0245	18.9083	20.0001	5.7166	806
world	empirical_2_bands_equation2	8.5469	0.0178	17.6423	9.3178	-0.1832	11.5816	12.2412	12.9720	4.0067	806
world	empirical_3_bands_equation1	13.3393	0.0090	18.5604	13.5410	9.5489	14.7125	15.0909	15.4424	1.8009	806
world	empirical_3_bands_equation3	9.8601	0.0128	17.6620	10.0772	4.8499	11.7428	12.2937	12.8062	2.4790	806
world	kd_z90max	6.9124	0.0811	81.9984	2.3230	0.8626	3.9457	4.8382	7.0289	14.6594	806
