name	Band	average	max_error	maximum	median	minimum	p80_threshold	p85_threshold	p90_threshold	sigma	total
world	3_bands_model_chl_conc	2.7748	0.0114	13.0139	2.6088	1.5797	3.0776	3.2148	3.4549	0.6812	795
world	MCI	0.0000	0.0000	0.0003	-0.0000	-0.0000	-0.0000	-0.0000	-0.0000	0.0000	8800
world	conc_chl	0.7257	0.0059	5.9357	0.7455	0.0040	1.0243	1.0836	1.1251	0.4831	795
world	conc_tsm	0.4493	0.0051	5.1548	0.4701	0.0125	0.5884	0.6141	0.6450	0.2805	795
world	empirical_2_bands_equation1	5.5238	0.0236	24.8713	5.9128	1.3203	6.1012	6.1718	6.2425	1.4240	795
world	empirical_2_bands_equation2	2.0665	0.0150	14.8436	2.2443	-0.1914	2.3796	2.4097	2.4698	0.8856	795
world	empirical_3_bands_equation1	9.8032	0.0069	16.1806	9.7332	9.2702	9.8922	9.9475	10.0096	0.3608	795
world	empirical_3_bands_equation3	5.1635	0.0094	13.9174	5.0772	4.5129	5.2653	5.3405	5.4157	0.4698	795
world	kd_z90max	19.0176	0.0762	77.0283	14.7078	0.8419	21.8694	26.2120	39.3161	12.4892	795
