name	Band	average	max_error	maximum	median	minimum	p80_threshold	p85_threshold	p90_threshold	sigma	total
world	3_bands_model_chl_conc	11.4282	0.0230	26.2689	12.3727	3.2238	14.2624	14.6772	15.1150	3.7147	794
world	MCI	0.0000	0.0000	0.0010	-0.0000	-0.0000	-0.0000	-0.0000	-0.0000	0.0001	8800
world	conc_chl	10.0543	0.0198	19.7945	10.6735	0.0091	13.0873	14.6107	16.3123	4.9180	794
world	conc_tsm	2.2290	0.0097	9.7472	1.8800	0.0106	3.7592	4.2849	4.7815	1.7885	794
world	empirical_2_bands_equation1	18.7129	0.0384	39.3036	20.9567	0.9211	24.0657	24.5647	25.3707	7.5726	794
world	empirical_2_bands_equation2	11.7120	0.0242	23.9377	13.3799	-0.2774	15.1960	15.6077	16.0920	5.0546	794
world	empirical_3_bands_equation1	14.9324	0.0127	22.4177	15.6028	9.7506	16.6415	16.8822	17.0975	2.3338	794
world	empirical_3_bands_equation3	12.1815	0.0192	24.2822	13.0391	5.0960	14.6124	14.9961	15.3414	3.2872	794
world	kd_z90max	6.5798	0.0799	80.3672	1.1982	0.4792	1.9172	3.2752	16.0573	15.8622	794
