name	Band	average	max_error	maximum	median	minimum	p80_threshold	p85_threshold	p90_threshold	sigma	total
world	3_bands_model_chl_conc	3.9962	0.0098	12.2903	3.7192	2.4947	4.4049	4.6204	4.9632	1.0278	834
world	MCI	0.0000	0.0000	0.0002	-0.0000	-0.0000	-0.0000	-0.0000	-0.0000	0.0000	8800
world	conc_chl	2.0506	0.0121	12.0835	1.5102	0.0135	2.8258	3.2724	4.0208	1.7586	834
world	conc_tsm	0.1254	0.0015	1.5362	0.0892	0.0082	0.1626	0.1901	0.2298	0.1486	834
world	empirical_2_bands_equation1	4.3644	0.0221	23.0454	3.9677	0.9902	5.2028	5.6659	6.7466	2.5572	834
world	empirical_2_bands_equation2	1.7948	0.0138	13.5966	1.4158	-0.1826	2.5182	2.9040	3.5516	1.7931	834
world	empirical_3_bands_equation1	10.2292	0.0062	15.6385	10.0186	9.4356	10.5025	10.6886	10.8995	0.7155	834
world	empirical_3_bands_equation3	5.6990	0.0084	13.1007	5.4254	4.7124	6.0293	6.2642	6.5326	0.9278	834
world	kd_z90max	13.5258	0.0823	83.2239	7.1639	0.9079	13.5846	22.1454	42.0659	16.0528	834
