name	Band	average	max_error	maximum	median	minimum	p80_threshold	p85_threshold	p90_threshold	sigma	total
world	3_bands_model_chl_conc	5.3036	0.0221	24.1945	4.4725	2.0846	6.3297	7.0594	7.9438	2.3590	2939
world	MCI	0.0000	0.0000	0.0016	-0.0000	-0.0000	-0.0000	-0.0000	-0.0000	0.0000	34254
world	conc_chl	3.3422	0.0289	28.9403	2.3156	0.0004	5.2095	6.0777	7.6405	3.3894	2939
world	conc_tsm	0.3552	0.0130	13.0346	0.1780	0.0087	0.4255	0.5037	0.5949	0.8454	2939
world	empirical_2_bands_equation1	8.2816	0.0356	36.7007	6.5850	1.1029	11.9958	13.5977	15.8048	5.4430	2939
world	empirical_2_bands_equation2	4.4165	0.0230	22.6647	3.3413	-0.3668	6.9572	7.9937	9.3065	3.5656	2939
world	empirical_3_bands_equation1	11.2335	0.0121	21.5004	10.6958	9.3740	12.1024	12.5875	13.1938	1.5564	2939
world	empirical_3_bands_equation3	7.0179	0.0180	22.6461	6.2767	4.6379	8.1135	8.7438	9.5902	2.1309	2939
