name	Band	average	max_error	maximum	median	minimum	p80_threshold	p85_threshold	p90_threshold	sigma	total
world	3_bands_model_chl_conc	18.3517	0.0236	26.5828	19.5426	2.9580	22.3303	22.7083	23.2517	4.9969	868
world	MCI	0.0000	0.0000	0.0008	-0.0000	-0.0000	-0.0000	-0.0000	-0.0000	0.0001	8800
world	conc_chl	4.3055	0.0195	19.5327	2.8761	0.0056	6.4886	7.7384	9.7496	3.8601	868
world	conc_tsm	2.3176	0.0086	8.5870	2.0269	0.0228	3.3885	3.8339	4.7074	1.5573	868
world	empirical_2_bands_equation1	28.1932	0.0359	38.6947	30.1439	2.7668	34.4912	35.2097	35.7127	7.3386	868
world	empirical_2_bands_equation2	18.0243	0.0234	24.0970	19.2500	0.6819	21.3106	21.6852	22.0598	4.5017	868
world	empirical_3_bands_equation1	18.5930	0.0128	22.5459	19.2543	9.7879	20.5939	20.8108	21.0787	2.6412	868
world	empirical_3_bands_equation3	17.8746	0.0194	24.5138	18.7991	5.1417	21.0656	21.4530	21.8986	4.0647	868
world	kd_z90max	1.1318	0.0295	29.9618	0.7030	0.4967	0.8798	0.9092	1.1449	2.1072	868
