name	Band	average	max_error	maximum	median	minimum	p80_threshold	p85_threshold	p90_threshold	sigma	total
world	3_bands_model_chl_conc	10.1502	0.0168	19.9754	10.7605	3.2211	12.1344	12.3857	12.7040	2.7444	802
world	MCI	0.0000	0.0000	0.0002	-0.0000	-0.0000	-0.0000	-0.0000	-0.0000	0.0000	8800
world	conc_chl	14.9696	0.0211	21.1012	17.5817	0.0266	19.7524	20.0053	20.2372	6.4014	802
world	conc_tsm	0.7978	0.0028	2.8331	0.7843	0.0149	1.0154	1.0887	1.1704	0.3585	802
world	empirical_2_bands_equation1	15.4681	0.0257	26.7251	16.6322	0.9780	19.3872	20.0308	20.8033	5.5451	802
world	empirical_2_bands_equation2	10.0432	0.0192	19.0316	11.0455	-0.1657	12.7541	13.0420	13.4644	3.9077	802
world	empirical_3_bands_equation1	14.1276	0.0097	19.3423	14.5600	9.6420	15.3943	15.5398	15.7435	1.7620	802
world	empirical_3_bands_equation3	10.9662	0.0140	18.9490	11.5085	4.9632	12.7393	12.9491	13.2568	2.4282	802
world	kd_z90max	5.4010	0.0743	75.2192	1.4312	0.9111	2.1000	2.5458	7.9703	12.7841	802
