name	Band	average	max_error	maximum	median	minimum	p80_threshold	p85_threshold	p90_threshold	sigma	total
world	3_bands_model_chl_conc	7.5988	0.0218	25.0127	6.6904	3.2263	9.3919	10.5030	11.7666	2.8595	2413
world	MCI	0.0000	0.0000	0.0016	-0.0000	-0.0000	-0.0000	-0.0000	-0.0000	0.0000	34254
world	conc_chl	10.8303	0.0369	36.9460	7.9843	0.0051	16.9240	19.8793	23.3887	7.8927	2413
world	conc_tsm	0.8108	0.0126	12.6558	0.7101	0.0148	0.9629	1.0640	1.2410	0.6890	2413
world	empirical_2_bands_equation1	10.8613	0.0362	37.0596	9.1287	0.8796	15.4602	17.3054	19.6209	5.5335	2413
world	empirical_2_bands_equation2	6.7595	0.0235	23.1427	5.6745	-0.3361	9.9007	11.1451	12.7181	3.7505	2413
world	empirical_3_bands_equation1	12.5409	0.0120	21.8556	11.9802	9.8271	13.8326	14.4701	15.2640	1.7762	2413
world	empirical_3_bands_equation3	8.7638	0.0181	23.2751	7.9388	5.1898	10.4707	11.3931	12.5505	2.5078	2413
