name	Band	average	max_error	maximum	median	minimum	p80_threshold	p85_threshold	p90_threshold	sigma	total
world	3_bands_model_chl_conc	6.6412	0.0250	27.1012	5.5190	2.1507	9.8355	10.8584	11.9562	3.8441	564
world	MCI	0.0000	0.0000	0.0017	-0.0000	-0.0000	-0.0000	-0.0000	-0.0000	0.0000	34254
world	conc_chl	5.9743	0.0281	28.1078	2.8116	0.0009	12.1150	14.9256	17.5677	6.8555	564
world	conc_tsm	0.9715	0.0176	17.6632	0.6149	0.0149	1.4620	1.7091	2.0268	1.2305	564
world	empirical_2_bands_equation1	9.9050	0.0372	38.2701	7.0066	1.0959	16.1143	18.0473	19.8317	6.4312	564
world	empirical_2_bands_equation2	5.8029	0.0246	24.3879	4.0691	-0.2111	10.2927	11.4980	12.9248	4.6448	564
world	empirical_3_bands_equation1	11.9874	0.0135	22.7659	11.2719	9.3069	14.0445	14.6905	15.3634	2.3193	564
world	empirical_3_bands_equation3	8.0729	0.0204	24.9133	7.0201	4.5570	10.7657	11.7021	12.6792	3.2152	564
