name	Band	average	max_error	maximum	median	minimum	p80_threshold	p85_threshold	p90_threshold	sigma	total
world	3_bands_model_chl_conc	3.4410	0.0049	7.0102	3.2314	2.0706	3.7896	4.0514	4.3774	0.7495	479
world	MCI	0.0000	0.0000	0.0001	-0.0000	-0.0000	-0.0000	-0.0000	-0.0000	0.0000	8800
world	conc_chl	0.8151	0.0063	6.3468	0.5761	0.0053	0.9566	1.2039	1.5146	0.8830	479
world	conc_tsm	0.3416	0.0013	1.3429	0.2579	0.0100	0.5698	0.6565	0.7484	0.2610	479
world	empirical_2_bands_equation1	4.7867	0.0138	14.9117	5.0961	1.0869	5.9532	6.1053	6.3403	1.6407	479
world	empirical_2_bands_equation2	1.8700	0.0085	8.1974	2.0041	-0.2865	2.5980	2.6913	2.9119	1.1149	479
world	empirical_3_bands_equation1	10.0244	0.0031	12.3827	9.9112	9.2581	10.2299	10.3798	10.5548	0.4403	479
world	empirical_3_bands_equation3	5.4375	0.0040	8.4782	5.2943	4.4983	5.6883	5.8754	6.0982	0.5545	479
world	kd_z90max	18.3931	0.0881	90.3564	14.4349	2.2804	25.7967	31.5217	40.1531	13.6840	479
